title,artist,added
HOES DEPRESSED (LEFT CHEERLEADER REMIX) (Explicit),"THOT SQUAD, Sophie Hunter",Dr Fiddleballs
Tempo (feat. Missy Elliott) (Explicit),"Lizzo, Missy Elliott",KatalystJess
Tell Santa (Explicit),Tyga,Step
Pack a Lunch (Explicit),"Prof, Redman",KatalystJess
Unlock The Swag (Explicit),"Rae Sremmurd, Jace of Two-9",AnnieKate
Miss You Much,Janet Jackson,johnnyrandomwalker
WAP (Funk Version) (Explicit),Jay Diggs,Cynsaytional
Wanksta (Explicit),50 Cent,Wilks
Gettin' Some Remix (Album Version (Explicit)) (Explicit),"Shawnna, Ludacris, Pharrell Williams, Lil Wayne, Too $hort",Ktz
Feel It Still,Portugal. The Man,Cali_Sober
I Don't Give A Fuck (Explicit),"Lil Jon & The East Side Boyz, Mystikal, Krayzie Bone",AnnieKate
Hail Mary (Explicit),2Pac,Slattery
Everybody Mad (Explicit),O.T. Genasis,AnnieKate
STATUS (Explicit),Russ,Ktz
One Foot In (Explicit),"Benny The Butcher, Stove God Cooks",flaco_kream
That's How I Knew,Nipsey Hussle,flaco_kream
Dead Wrong (feat. Eminem) [2007 Remaster] (Explicit),"The Notorious B.I.G., Eminem",AnnieKate
Wanna Know (Explicit),Obie Trice,Paul A.
Do I Wanna Know?,Arctic Monkeys,Cali_Sober
Ice Cold Beer (Explicit),"Bezz Believe, Riff Raff",maltliquorkicker
Neato (Explicit),Three Loco,johnnyrandomwalker
THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (feat. ScHoolboy Q) (Explicit),"Tyler, The Creator, ScHoolboy Q",Slattery
Please come home i got Beans and Bologna (feat. Thirstpro) (Explicit),J-LiU,CMac
Dont Wanna C Me Rich (Explicit),Redman,johnnyrandomwalker
Lite It Up (Explicit),"Redman, Naughty By Nature, Queen Latifah, Rah Digga, Shaquille O'Neal, Lords Of The Underground, LADY LUCK, Artifacts, Heather B, Channel Live, Nikki D",Dr Fiddleballs
A Christmas Fucking Miracle (Explicit),"Run The Jewels, El-P, Killer Mike",Jordan Hurst
Still Brazy (Explicit),YG,Ktz
I've Got My Love to Keep Me Warm (STUHR Remix),Kay Starr,Jordan Hurst
So Sensitive (Explicit),Ice Cube,Ann Redg8
Hot,Powers,Paul A.
Kool Aid (Explicit),Danny Brown,Slattery
Raindrops (feat. Flo Milli) (Explicit),"GoldLink, Flo Milli",Jamie Jackson
Sally Walker (Explicit),Iggy Azalea,SweetAsh
Whirlybird (Explicit),Pete & Bas,flaco_kream
Silent Hill (Explicit),"Kendrick Lamar, Kodak Black",AnnieKate
B.M.F. (Blowin' Money Fast) (Explicit),Rick Ross,Step
Tiny Dancer,Elton John,SweetAsh
Suicide Doors (feat. Cordae) (Explicit),"Juicy J, Cordae",Dr Fiddleballs
NEW WIP (Explicit),Boombox Cartel,Cali_Sober
Midnight Terrain,Hermitude,Cali_Sober
GUD VIBRATIONS,"Nghtmre, Slander",Cali_Sober
Welcome To Jamrock (Explicit),"Damian ""Jr. Gong"" Marley",Wilks
Scapegoat (Explicit),Atmosphere,johnnyrandomwalker
FBC (Explicit),Freddie Gibbs,Slattery
Supreme Ninja Training Montage 2 (Explicit),"Mr. Green, DMX",Dr Fiddleballs
Heat Waves,Glass Animals,Slattery
Four Walls and an Amplifier,Brock Berrigan,Dr Fiddleballs
Hans Zimmer (Explicit),Marlon Craft,johnnyrandomwalker
I Love You Mary Jane,"Sonic Youth, Cypress Hill",CMac
Superpowers,The Polish Ambassador,CreepyUnknown
Car Alarm,Too Many Zooz,maltliquorkicker
Flip It,"Levity, Dem Jointz",Cali_Sober
Apply The Pressure,"MEMBA, Party Favor, VinDon",Step
Cheetos (Explicit),KaMillion,AnnieKate
Fashitsho (Explicit),Maxo Kream,flaco_kream
My Corner (Explicit),"Raekwon, Lil Wayne",Step
